text,hate_label,english_translation,label,post_id
අසන්ත ද මෙල් උඹ හුකහන් හුත්තෝ.ඩික්වැල්ලව හලලා උපුලා දාන්න බැරි ඇයි. Sri Lanka Cricket @USER  · 19 Feb 2020 Sri Lanka ODI Squad for the West Indies Series #SLvWI,HOF,"Ultu, you won't have to tribulate Halala, Halalala in Hutton.dickwella.Sri Lanka Cricket @user rib 19 Feb 19 Feb 2020 Sri Lanka ODi Squad For The West Indies #slvwi",0,1230095217488994304
@USER ඔහු වැරදිකරුනම් ඔහුට දන්ඩුවම් ලබා දිය යුතුය. මේ මොකක්ද කැලේ වවන්න කියන්නෙ. ඔය කපපු කැලේ අයෙත් වවන්න පුලුවන්ද?? විකුනපු ඉඩම් අයෙත් ගන්න පුලුවන්ද? හරියට හොරෙක් අහුවුනම අයෙත් බඩුටික දුන්නම නිදහස් කරනව වගෙ වැඩක්  මේක.,NOT,@User must make him gone.What's going to be like it.Can you calen you cut?Can you get the land that soldThis is what a thief is getting married and release.,1,1328273479238488064
Sampath Udagedara ලැජ්ජා නැද්ද බං කෙල්ලන්ගේ ෆොටෝ ඉල්ලන්න..වේසි වේසි කිය කියා...හයියෝ x හැමිනෙනවා :p :p :p,HOF,Sampath Udageedara is not ashamed is ashamed is ashamed of bang girls.,0,732788357730799617
"Mr අරුන්දික, මොනවද ඕයී තමුසෙ කියවන්නෙ ඔය   #වාදපිටිය",HOF,"MR Arundika, what you read Oya # Wadapitiya",0,1245049175269466113
අඩො ආසයි Chamal Kanishka @USER  · 9 Dec 2018 අලි කොටි බියත් එක්ක සීතල හදපාන් ඇල්ල මුදුනේ ගත කරපු දවස් දෙක   #KalawanaMeetUp 2.0 #TweepsTravelDiaries #HandapanElla #Kalawana #Rakwana,NOT,Adopt Like Chamal Kanishka @ 3 Dec 2018 Elephant Fears,1,1072043629617733632
මැණික රිසාල්ට් කෝමද ඔයාට  ඔයා හින්දා තමා මම ෆේල් උනේ අයිසෙ. මෙව්වට වග කියන්න ඕනෙ ඔයා  මේකි යකෝ     #WhenALResultsAreOut,HOF,"The gem risalt is you because you are you, I'm the Fale.You are responsible for this, you are this #whenalresulout",0,811191890519302144
"මුසලයා කියලා කඩෙන් බැනුම් අහලා,වෙල් දෙකක් කාලා අම්මට සතුට ගෙනාපු හැටි සදුන් කියන කතාව - HARI GOSSIP URL",NOT,Sali Gossip URL of the story of banning of the musopya,1,861210524306092032
ක්‍රිස්තියානි දොං ජුවං රනිල් සහ ක්‍රිස්තියානි ගෑණි බැන්ද මහින්දයි උන්ගේ හැත්තයි මේ රටින් හැඳිගෑවිලාම යනවා #lka #lk,HOF,Christian Dong Juven Ranil and the Christian woman married Mahinda,0,749522350731735041
"@USER ,  @USER  @USER තෝ පලකෝ",HOF,"@Ser, @user @user Thoma",0,1421878638241140748
@USER තෝ ගමට ඇවිත් කියලා අපි දන්නවද යකෝ,NOT,We know that @user tho villa into the village,1,821587824558346242
ඇඟේ දුවන්නේ මොන ලේ ද කියලා වැඩක් නෑ..මේ රටේ දියුණුවට උඹ උදව් කරනවනම් උන් ලක් අම්මගේ දරුවො ..ආගම ජාතිය මොකක් වුනත්. #මේ රටට මේ පොළවේ මිනිස්සුන්ට වෛර කරනවනම් අයහපතක් කරනවනම් ඇඟේ දුවන්නේ මොන ලේ උනත් ඌ අවජාතකයෙක්..,NOT,"No matter what blood running runs, what if you helped you to improve in the country, they are the nation.# If you hate the people of this earth, it is a bastard.",1,966548784560746497
"කදීජා පදනමේ සභාපති එම්.එස්.එච් මොහොමඩ් මහතාගේ මූලිකත්වයෙන්,දෙරණ නාලිකාවේ මැදිහත්වීමෙන්,ජනතාවගේ මුදල් ආධාර මත සිදුකල වැඩේටත් තමන්ගේ නම ගහගන්න කාලකණ්ණි දේශපාලුවෝ ඉන්න රටක් මේක... මෛත්‍රී-රනිල්-රාජිත ලැජ්ජයි... URL",NOT,"This is a miserable politician country where the Derana is the intervention of the Derana, MSH Mohamed by Kadagada.",1,980612579834978304
@USER ඒ කාලේ මතක් වෙද්දිත් උම්බලකඩ වඩේ රස එනවා කටට,NOT,@Ser's remembrance of that time,1,898196086946373632
@USER රාජපක්ෂලන්තය නම් ලොන්ත රටේ: කටුස්සන්ගේ කරේ රත්තරං බැඳීමේ ප්‍රතිපල ලැබෙමින් පවතියි. බූරුවා මහත්තයාගෙන් (ස') කෝල් එකක්: කවුද ඕයී .ස්ත්‍රාත් තමුසෙට අපේ සිල්වාගේ කොල්ලෝ උසාවි ගේන්න කිව්වේ. සිල්වාගේ කොල්ලොන්ට අත තියන්නෑ තමුසේ ඉස්ට්‍රාත්.,NOT,@User The Leddhar: Lizard is also receiving the results of the lizard.A call from Mr. Assaut: Who is Oya.?You may not have touch Silva's boys.,1,1410440582250385408
මේ වෙන කව්‍රුත් නෙවෙයි අර යුරේනි කියන පට්ට බඩුව.... කොරියවට ඇවිත් හිටපු විදිහ... ඔයිට වඩා හොදයි සුවෝන් වත්තේ මාන්... URL,HOF,"None of the Eurai, the pittu in the pane .... is the Korean ...",0,648990486615621632
@USER ඉන්දියාවෙන් දුන්න රු මිලියන 500 ගැන පොඩ්ඩක් අහන්නකෝ එහම සල්ලි කොහමද ලංකාවේ පක්ෂයකට එන්නේ එතකොට ලංකාව මෙහයවන්නේ වෙන රටකින්ද,NOT,@Ser 500 million in India's Rs,1,963316316806422528
@USER නරකද ඔක්කෝම රාජපක්ෂ සහෝදරවරැ  ටික තරගයට දැම්මොත් ? රට රාජපකෂ බූදලේ නේ...........  ඇත්තෙන්ම රටේ වෙන මිනිස්සු ඇත්තේම නැද්ද ?,NOT,"@Ser worse What if the Rajapaksa sister in the competition, all the way to contemplate?Rajapaksa is estate in the country ...",1,1085149693515042816
අක්ක අයිය නැන්ද මාම අම්ම තාත්ත ආච්චි සීය තව කියාන්,NOT,"Nakatta, uncle mother-dad grandmother",1,1219445456138190848
වර්තමානය වනවිට Modeling Field එක තුළ හොදම Model වෙනවාට වඩා Field එකේ හොදම බඩුව වීමට වැඩි තරගකාරීත්වයක් ඇත.,HOF,"At present, the best model in the Modeling Field is more competitive than the best model.",0,1078945733863067650
අඩො ඩම්බල්ඩොර්ගෙ එකවුන්ට් එක හැක් කරල ද,NOT,Ado Dumbledor's Excision hacked,1,1378240455050031104
වොයිස් ටීන් එකේ සමීනා නංගියි ශෙහාර මල්ලී සඳ මිතුරි සින්දුව කියනවා..පට්ට,NOT,Sameni signing signs in Voice,1,1267374513752334341
කාලකණ්ණි බල්ලො ඉන්නේ පොලීසියේ !  #එලඑලඑල,HOF,The miserable dogs are in the police!# Ettables,0,1079776690048389121
"මේ අයිසෙ,  වියානා සම්මුතියෙ අපි වගේ බල්ලොන්ට වැඩදායී දේවල් මුකුත් නැද්ද?  Please ignore that හොටුකෑල්ල in my nose",HOF,"Don't have anything to dogs like us, like us, like us, like us, like us, like us, like us in the Vienna Convention?Please Ignore Tot Hotuckle in My Nose",0,1388751044734160896
ඩේටා නැති ෆෝන් එකක් කියන්නෙ   අම්ම නැති ගෙදරක් වගේ,NOT,A cell phone that does not say is like a mother-free house,1,1087637160377802752
කුසල් මෙන්ඩිස් retire උන දවසට ආයේ ලංකාවෙ උන් ගහන match බලනවා.  @USER  thanks අපිට ක්‍රිකට් එපා කරවනවට.  @USER  තෝ තොට ඇතිවෙනකම් ක්‍රිකට් ගහපන් මල්ලි. #ENGvSL,HOF,Kusal Mendis is watching them on the day of the day.@Ser thank us to reject cricket.@Ser thom the occupation malley.#Engvsl,0,1407787753249533952
"පොහොට්ටුවේ මඩකරි බලකායේ තව එකෙක් මේ ඉන්නේ. මූට ඕනේ ජෙප්පන්ගේ නම දාගෙන උන්ට මඩ ගහ ගහ ෆේල් වෙච්ච 'ස' ව පාස් කරන්න. මේවගෙන් ඇත්ත තත්වය යටපත් කරන්න බැහැ වගේම, තව තවත් මේ සක්කිලි ආණ්ඩුව එපා වෙන එක වෙන්නේ. #SriLanka #සෆේල් #SLPP  JVP UK @USER  · 28 Sep 2021 ලොක්ඩවුන් අතරේ ආන්ඩුව රටම විකුණයි      #Jvp2025 #AKD #SriLanka #lockdown",HOF,"One is another one in the madarati force in the Pohost.Mouse wanted Jeppene's name and pass the muddled muddled.And it is impossible to suppress the real situation, and more happening to this Sakkili government.#Srilanka # safale #SLPP JVP JVP UK",0,1442730105009152005
"@USER  @USER    ෆිෂර්මන්ට යකා ආවේස වුණා. 'තෝ මෙතන ඉංගිරිසියෙන් ප්‍රස්න අහන්නෙ, දෙන්නෙ බෙල්ල අනිත් පැත්තට කැරකෙන්න' කියලා ඇස් ගොරක ගෙඩි කරගෙන කිව්වා.",NOT,@Ser @user fisherman came out.'Tho is listening to the neck to the other side of the neck.',1,944465531628900352
ඒ ගොන් මෝඩ මී හරකා මගේ දඬුමොණරෙ බිම දැම්මා මදිවට තව ඉවකරන්නත් පටන් ගත්තා.,HOF,That silly buffalo was thrown down my pillar.,0,1278694980958052358
@USER අනෙ පලයන් බං පච නොකියා. ලාම්‍යොන්කප් එක හදන්නේ ඒවයින් නිසා එන කේස් එකක් මිසක් ඕවා දාන්නේ නෑ නූඩ්ල්ස් මොනාටවත්. මම ඉක්සාන් සී වල උන්සුන්ග් ෆුඩ් එකේ තමා මුලින්ම ජොබ් එකක් විදිහට ජොබ් එකක් කලේ. ඒකේ මුලු ප්‍රොසෙස් එකේම මම ඉදලා තියෙනවා. ඔය කියන මගුලක් ඒවයේ නෑ,NOT,"@User layer of the destruction of the palan bung.The lamioncup is trying to make the case because of the evells, not the case.I was the first Job to a job at the Ussank Fed of Eksan C.I've been in the propositions of it.There's no fuck that says that",1,1310744284144959489
@USER සබරි කියන්නේ රාජපස්ස වළව්වේ අසූචි කන ඌරෙක්..!!!!,HOF,"@Ser Sabori, the burying over the Azusi pigs !!!!",0,1193494127230496769
@USER අවජාතකයකු විසින් කල අමන ප්‍රකාශය. මම බලාපොරොත්තු වෙනවා තෝ ලබා අවුරුද්දේ මැරිලා යනකන්.,HOF,@Ser's addressed by a bastard.I hope you get the thou dead.,0,1191768642985218048
@USER මොකද්ද ඕයි කියවන්නේ තවත්  උබලා කතාකරන්නවත් දන්නේ නෑ මනුස්සයෙක්ට... ඊට පස්සෙ අපි මොකක් බරි කිව්වම අර බඩුව කෝට් කරලා ඒක  මොන ආතල්ද ඕයි මේවා... ඔය සිප්පි කෑල්ලත් අරන් පලයන්,HOF,What is @ser reading that one is not known to a man.,0,1023038292772573184
වචන ටික හෑ!  නෑ! අම්මේ! බොරු! ඉතිං! අයියෝ! අනේ! අප්පා! ටහි^කේ! මොංගල්ද! පාංද! පිස්සු! ජාති! ඇහ්! බොල! ගෑණියේ! මිනිහෝ! සහොදරවරුනි! සැ වෑව්! වට් එවර්! #ජාතිවදං,NOT,The words are a little bit!not!Mom!Lies!So!Come on!Please!Appa!Try ^ K!Is Monsole!Palm!Crazy!The race!Come!Bollah!In the woman!Man!Soroded!Squisites!WAT EVER!#Casement,1,1054012972249403393
@USER  @USER ඉතින් ඇයි බං ඕක ඒවෙලේ කිව්වෙ නැත්තෙ. ගෝඨා නැතුව වෙන එකෙක් ඡන්දෙ ඉල්ලුවනං අද ගෝඨගෙ නම වෙනුවට ඔතෙන්ට දාන්නෙ ඒ මනුස්සයගෙ නමනේ. දේශපාලන වහල් පොන්න වේස කැරි හුකන කතා කියන්නෙපා හුත්තිගෙ කොල්ලෝ හුකන්න බෝම්බ ගහපු වෙලේ එක පකයෙක් හා හූ නෑ අන්තිමට ඡන්දයක් ළංවුණාම ජංගිය අස්සෙ තියෙන ඇට 1/2,HOF,"@Ser @user so why is the baby called it.The man named the man named the man who is elected today.Political Slave Trees Carry Fleet Treatment of Huttuthi Boys When there was a ballot, the last of the last one at the end, 1/2 of the skeletal",0,1189192459466625025
"@USER අම්මපා, ඔච්චර ඕන නම් පැනලා මැරියල්ලකෝ කාලකන්නි. ඔය එක්නැලිගොඩගේ ගෑණි බත් කන්නේත් NGO සල්ලි වලින්නේ.",HOF,"@User mummy, if you want, the Panadhi Margamellako.The NGO money is also taught that Eknaligoda's woman rice.",0,875737480116420608
"@USER ඉතින් පොන්නයො තොට ඕන එකක් තෝ කියපිය අපිට මොකද , මේ වෙනකන් තොපි කිව්වේ කරේ අපිට ඕක එක නෙවෙයි නේ  2015 වෙනස පතපු මිනිස්සුන්ට වැඩිපුරම කෙලපු උන් තුන් දෙනා තමා රනිල් , මූ සහ රාජිත  No excuses , ඊලඟ පාර උඹට මෝඩ UNP උන් උනත් ඡන්ද දෙන්නෙ නැහැ , ජාතික ලැයිස්තුවෙන් රින්ගන්න සෑර්",HOF,"@Ser So you want to say that you said that Thought us to say that they were in Ranil, Moon, NT, no votes., Ridding Sir from the national list",0,1127519686546030592
"Wedding එක කැන්සල් බන්,ඒකි පිට යනවා.. තූ... පෙබරවාරි 30හ wedding එක ගන්න හිතන් හිටියේ.. කරුමේ..",HOF,"Wedding One Cancel Bun, Easy ... Totu ... was the February 30 and wanted to take wedding.",0,1487031038786351106
අල්ලපු පන්තියේ මේස රෙද්ද අපේ මේසෙට දාලා මේස රෙද්ද ඔලුවෙ තියන් හිටියා   #NotInYourSchoolClass,NOT,You left our table to the catching classkeeper to our desk and desked in tables #notinyours,1,981532739437445121
"ඉස්කෝලෙ යන කාලෙ සින්හල පොතේ තිබ්බ කවි වල පද පේළිවල අන්තිම වචනෙ මුලට 'දෙක' කියල දාල කියවනකොට පට්ට යකූ <3 දෙක දනවෝ, දෙක දෙනවෝ..etc ^_^ #lka",NOT,"When you read the last word of the poems in the Sinast Book, two and two teams, two and two. Etc ^ _ ^ #kaka",1,636852020947750912
ඉදගන්න යනකොට ඒකි මොනාදෝ කියනවලු.කඩ්ඩ බැරිඋනත් දනිපනි ගාල කිව්ව බෑග්එක ගනිං කියල.ඒකි ඔරවල බෑග්එක ගත්ත.කොනේ හිටපු අයියකාරයව මැදට තල්ලුකරල කිටිකිටියේ වාඩි උනා.දැම් මේ අපි ප්‍රාර්ථනා කරකර යන්නෙ හොද තුවාලකාරයෙක් නැගහං කියල අපි එකෙක් නැගිටල ඌව මැදින් වාඩිකරවගන්න.  #ආත්මාර්ථකාමී_හැත්ත,HOF,"When Ekkey Nadu is in Kinddad, the Kethagine of the Ohu is a good injury.# Selfish_hawatta",0,1149985263801683968
උසේන් බෝල්ට් :- මම තමා වේගවත්ම සොනික් :- පුහ් මමයි ඕයි වේගවත්ම ෆ්ලෑශ් :- ලබ්බ තමා තොපි දෙන්නටම වඩා මම වේගවත් යකුනේ විජයකලාගේ ඇපේ :- keep talking bitches,HOF,Uzne Bolt: - Train I'm Fastest Faste:,0,1049343883493199872
