id,label
task1a_test_155,NOT
task1a_test_156,HOF
task1a_test_157,HOF
task1a_test_158,HOF
task1a_test_159,NOT
task1a_test_160,NOT
task1a_test_161,NOT
task1a_test_162,HOF
task1a_test_163,HOF
task1a_test_164,NOT
task1a_test_165,NOT
task1a_test_166,NOT
task1a_test_167,HOF
task1a_test_168,HOF
task1a_test_169,NOT
task1a_test_170,NOT
task1a_test_171,HOF
task1a_test_172,HOF
task1a_test_173,NOT
task1a_test_174,HOF
task1a_test_175,NOT
task1a_test_176,HOF
task1a_test_177,NOT
task1a_test_178,NOT
task1a_test_179,NOT
task1a_test_180,NOT
task1a_test_181,NOT
task1a_test_182,NOT
task1a_test_183,HOF
task1a_test_184,NOT
task1a_test_185,NOT
task1a_test_186,NOT
task1a_test_187,NOT
task1a_test_188,NOT
task1a_test_189,HOF
task1a_test_190,NOT
task1a_test_191,NOT
task1a_test_192,NOT
task1a_test_193,HOF
task1a_test_194,HOF
task1a_test_195,HOF
task1a_test_196,NOT
task1a_test_197,NOT
task1a_test_198,HOF
task1a_test_199,NOT
task1a_test_200,NOT
task1a_test_201,NOT
task1a_test_202,NOT
task1a_test_203,HOF
task1a_test_204,HOF
task1a_test_205,NOT
task1a_test_206,HOF
task1a_test_207,HOF
task1a_test_208,NOT
task1a_test_209,NOT
task1a_test_210,HOF
task1a_test_211,NOT
task1a_test_212,NOT
task1a_test_213,NOT
task1a_test_214,NOT
task1a_test_215,HOF
task1a_test_216,NOT
task1a_test_217,HOF
task1a_test_218,HOF
task1a_test_219,NOT
task1a_test_220,NOT
task1a_test_221,NOT
task1a_test_222,HOF
task1a_test_223,NOT
task1a_test_224,HOF
task1a_test_225,NOT
task1a_test_226,HOF
task1a_test_227,NOT
task1a_test_228,NOT
task1a_test_229,NOT
task1a_test_230,HOF
task1a_test_231,NOT
task1a_test_232,NOT
task1a_test_233,NOT
task1a_test_234,HOF
task1a_test_235,NOT
task1a_test_236,NOT
task1a_test_237,NOT
task1a_test_238,HOF
task1a_test_239,HOF
task1a_test_240,NOT
task1a_test_241,NOT
task1a_test_242,NOT
task1a_test_243,NOT
task1a_test_244,HOF
task1a_test_245,NOT
task1a_test_246,NOT
task1a_test_247,HOF
task1a_test_248,NOT
task1a_test_249,NOT
task1a_test_250,NOT
task1a_test_251,NOT
task1a_test_252,NOT
task1a_test_253,NOT
task1a_test_254,NOT
task1a_test_255,NOT
task1a_test_256,NOT
task1a_test_257,NOT
task1a_test_258,NOT
task1a_test_259,NOT
task1a_test_260,NOT
task1a_test_261,NOT
task1a_test_262,NOT
task1a_test_263,HOF
task1a_test_264,NOT
task1a_test_265,HOF
task1a_test_266,NOT
task1a_test_267,NOT
task1a_test_268,HOF
task1a_test_269,NOT
task1a_test_270,HOF
task1a_test_271,NOT
task1a_test_272,NOT
task1a_test_273,HOF
task1a_test_274,NOT
task1a_test_275,HOF
task1a_test_276,HOF
task1a_test_277,NOT
task1a_test_278,NOT
task1a_test_279,HOF
task1a_test_280,NOT
task1a_test_281,NOT
task1a_test_282,NOT
task1a_test_283,NOT
task1a_test_284,NOT
task1a_test_285,NOT
task1a_test_286,NOT
task1a_test_287,HOF
task1a_test_288,NOT
task1a_test_289,HOF
task1a_test_290,NOT
task1a_test_291,HOF
task1a_test_292,HOF
task1a_test_293,HOF
task1a_test_294,NOT
task1a_test_295,NOT
task1a_test_296,NOT
task1a_test_297,NOT
task1a_test_298,NOT
task1a_test_299,NOT
task1a_test_300,NOT
task1a_test_301,NOT
task1a_test_302,NOT
task1a_test_303,NOT
task1a_test_304,NOT
task1a_test_305,NOT
task1a_test_306,NOT
task1a_test_307,NOT
task1a_test_308,NOT
task1a_test_309,NOT
task1a_test_310,NOT
task1a_test_311,NOT
task1a_test_312,NOT
task1a_test_313,NOT
task1a_test_314,NOT
task1a_test_315,HOF
task1a_test_316,HOF
task1a_test_317,NOT
task1a_test_318,HOF
task1a_test_319,NOT
task1a_test_320,NOT
task1a_test_321,NOT
task1a_test_322,NOT
task1a_test_323,HOF
task1a_test_324,HOF
task1a_test_325,HOF
task1a_test_326,NOT
task1a_test_327,HOF
task1a_test_328,HOF
task1a_test_329,NOT
task1a_test_330,NOT
task1a_test_331,NOT
task1a_test_332,HOF
task1a_test_333,NOT
task1a_test_334,NOT
task1a_test_335,NOT
task1a_test_336,NOT
task1a_test_337,NOT
task1a_test_338,HOF
task1a_test_339,NOT
task1a_test_340,NOT
task1a_test_341,HOF
task1a_test_342,NOT
task1a_test_343,HOF
task1a_test_344,HOF
task1a_test_345,HOF
task1a_test_346,NOT
task1a_test_347,HOF
task1a_test_348,HOF
task1a_test_349,HOF
task1a_test_350,HOF
task1a_test_351,NOT
task1a_test_352,NOT
task1a_test_353,HOF
task1a_test_354,NOT
task1a_test_355,HOF
task1a_test_356,NOT
task1a_test_357,NOT
task1a_test_358,HOF
task1a_test_359,HOF
task1a_test_360,NOT
task1a_test_361,NOT
task1a_test_362,NOT
task1a_test_363,NOT
task1a_test_364,HOF
task1a_test_365,HOF
task1a_test_366,NOT
task1a_test_367,HOF
task1a_test_368,NOT
task1a_test_369,NOT
task1a_test_370,HOF
task1a_test_371,HOF
task1a_test_372,NOT
task1a_test_373,HOF
task1a_test_374,HOF
task1a_test_375,NOT
task1a_test_376,NOT
task1a_test_377,NOT
task1a_test_378,HOF
task1a_test_379,HOF
task1a_test_380,NOT
task1a_test_381,NOT
task1a_test_382,HOF
task1a_test_383,HOF
task1a_test_384,HOF
task1a_test_385,NOT
task1a_test_386,NOT
task1a_test_387,NOT
task1a_test_388,NOT
task1a_test_389,NOT
task1a_test_390,NOT
task1a_test_391,NOT
task1a_test_392,HOF
task1a_test_393,NOT
task1a_test_394,NOT
task1a_test_395,NOT
task1a_test_396,HOF
task1a_test_397,HOF
task1a_test_398,NOT
task1a_test_399,HOF
task1a_test_400,NOT
task1a_test_401,NOT
task1a_test_402,HOF
task1a_test_403,NOT
task1a_test_404,NOT
task1a_test_405,NOT
task1a_test_406,NOT
task1a_test_407,NOT
task1a_test_408,HOF
task1a_test_409,NOT
task1a_test_410,HOF
task1a_test_411,NOT
task1a_test_412,NOT
task1a_test_413,NOT
task1a_test_414,NOT
task1a_test_415,HOF
task1a_test_416,HOF
task1a_test_417,NOT
task1a_test_418,HOF
task1a_test_419,NOT
task1a_test_420,NOT
task1a_test_421,HOF
task1a_test_422,HOF
task1a_test_423,NOT
task1a_test_424,NOT
task1a_test_425,NOT
task1a_test_426,NOT
task1a_test_427,NOT
task1a_test_428,NOT
task1a_test_429,NOT
task1a_test_430,HOF
task1a_test_431,NOT
task1a_test_432,HOF
task1a_test_433,NOT
task1a_test_434,NOT
task1a_test_435,NOT
task1a_test_436,NOT
task1a_test_437,NOT
task1a_test_438,NOT
task1a_test_439,NOT
task1a_test_440,NOT
task1a_test_441,NOT
task1a_test_442,NOT
task1a_test_443,HOF
task1a_test_444,NOT
task1a_test_445,NOT
task1a_test_446,NOT
task1a_test_447,NOT
task1a_test_448,HOF
task1a_test_449,HOF
task1a_test_450,NOT
task1a_test_451,HOF
task1a_test_452,NOT
task1a_test_453,NOT
task1a_test_454,NOT
task1a_test_455,NOT
task1a_test_456,NOT
task1a_test_457,NOT
task1a_test_458,HOF
task1a_test_459,NOT
task1a_test_460,NOT
task1a_test_461,HOF
task1a_test_462,NOT
task1a_test_463,NOT
task1a_test_464,NOT
task1a_test_465,HOF
task1a_test_466,HOF
task1a_test_467,NOT
task1a_test_468,HOF
task1a_test_469,HOF
task1a_test_470,NOT
task1a_test_471,NOT
task1a_test_472,NOT
task1a_test_473,NOT
task1a_test_474,NOT
task1a_test_475,NOT
task1a_test_476,NOT
task1a_test_477,NOT
task1a_test_478,NOT
task1a_test_479,NOT
task1a_test_480,NOT
task1a_test_481,NOT
task1a_test_482,NOT
task1a_test_483,HOF
task1a_test_484,NOT
task1a_test_485,NOT
task1a_test_486,HOF
task1a_test_487,NOT
task1a_test_488,NOT
task1a_test_489,NOT
task1a_test_490,HOF
task1a_test_491,NOT
task1a_test_492,HOF
task1a_test_493,HOF
task1a_test_494,HOF
task1a_test_495,HOF
task1a_test_496,NOT
task1a_test_497,NOT
task1a_test_498,NOT
task1a_test_499,HOF
task1a_test_500,NOT
task1a_test_501,HOF
task1a_test_502,NOT
task1a_test_503,HOF
task1a_test_504,NOT
task1a_test_505,NOT
task1a_test_506,NOT
task1a_test_507,NOT
task1a_test_508,NOT
task1a_test_509,HOF
task1a_test_510,HOF
task1a_test_511,NOT
task1a_test_512,NOT
task1a_test_513,NOT
task1a_test_514,NOT
task1a_test_515,NOT
task1a_test_516,HOF
task1a_test_517,NOT
task1a_test_518,NOT
task1a_test_519,NOT
task1a_test_520,HOF
task1a_test_521,HOF
task1a_test_522,NOT
task1a_test_523,NOT
task1a_test_524,HOF
task1a_test_525,NOT
task1a_test_526,HOF
task1a_test_527,NOT
task1a_test_528,HOF
task1a_test_529,HOF
task1a_test_530,NOT
task1a_test_531,NOT
task1a_test_532,HOF
task1a_test_533,NOT
task1a_test_534,HOF
task1a_test_535,NOT
task1a_test_536,NOT
task1a_test_537,HOF
task1a_test_538,NOT
task1a_test_539,NOT
task1a_test_540,NOT
task1a_test_541,NOT
task1a_test_542,NOT
task1a_test_543,HOF
task1a_test_544,NOT
task1a_test_545,NOT
task1a_test_546,HOF
task1a_test_547,NOT
task1a_test_548,NOT
task1a_test_549,NOT
task1a_test_550,NOT
task1a_test_551,NOT
task1a_test_552,HOF
task1a_test_553,NOT
task1a_test_554,HOF
task1a_test_555,NOT
task1a_test_556,NOT
task1a_test_557,NOT
task1a_test_558,HOF
task1a_test_559,HOF
task1a_test_560,HOF
task1a_test_561,NOT
task1a_test_562,NOT
task1a_test_563,NOT
task1a_test_564,NOT
task1a_test_565,NOT
task1a_test_566,NOT
task1a_test_567,NOT
task1a_test_568,HOF
task1a_test_569,NOT
task1a_test_570,NOT
task1a_test_571,NOT
task1a_test_572,HOF
task1a_test_573,NOT
task1a_test_574,NOT
task1a_test_575,NOT
task1a_test_576,NOT
task1a_test_577,NOT
task1a_test_578,HOF
task1a_test_579,HOF
task1a_test_580,NOT
task1a_test_581,NOT
task1a_test_582,NOT
task1a_test_583,HOF
task1a_test_584,NOT
task1a_test_585,NOT
task1a_test_586,HOF
task1a_test_587,NOT
task1a_test_588,NOT
task1a_test_589,HOF
task1a_test_590,HOF
task1a_test_591,NOT
task1a_test_592,HOF
task1a_test_593,HOF
task1a_test_594,NOT
task1a_test_595,HOF
task1a_test_596,NOT
task1a_test_597,HOF
task1a_test_598,NOT
task1a_test_599,NOT
task1a_test_600,HOF
task1a_test_601,NOT
task1a_test_602,NOT
task1a_test_603,HOF
task1a_test_604,HOF
task1a_test_605,NOT
task1a_test_606,NOT
task1a_test_607,NOT
task1a_test_608,HOF
task1a_test_609,HOF
task1a_test_610,HOF
task1a_test_611,HOF
task1a_test_612,NOT
task1a_test_613,NOT
task1a_test_614,NOT
task1a_test_615,NOT
task1a_test_616,HOF
task1a_test_617,HOF
task1a_test_618,NOT
task1a_test_619,HOF
task1a_test_620,NOT
task1a_test_621,NOT
task1a_test_622,NOT
task1a_test_623,NOT
task1a_test_624,HOF
task1a_test_625,NOT
task1a_test_626,NOT
task1a_test_627,NOT
task1a_test_628,HOF
task1a_test_629,NOT
task1a_test_630,HOF
task1a_test_631,HOF
task1a_test_632,NOT
task1a_test_633,HOF
task1a_test_634,HOF
task1a_test_635,NOT
task1a_test_636,NOT
task1a_test_637,HOF
task1a_test_638,NOT
task1a_test_639,NOT
task1a_test_640,NOT
task1a_test_641,NOT
task1a_test_642,HOF
task1a_test_643,NOT
task1a_test_644,HOF
task1a_test_645,NOT
task1a_test_646,NOT
task1a_test_647,HOF
task1a_test_648,NOT
task1a_test_649,HOF
task1a_test_650,NOT
task1a_test_651,NOT
task1a_test_652,NOT
task1a_test_653,NOT
task1a_test_654,NOT
task1a_test_655,NOT
task1a_test_656,NOT
task1a_test_657,NOT
task1a_test_658,HOF
task1a_test_659,HOF
task1a_test_660,NOT
task1a_test_661,NOT
task1a_test_662,HOF
task1a_test_663,NOT
task1a_test_664,NOT
task1a_test_665,NOT
task1a_test_666,HOF
task1a_test_667,NOT
task1a_test_668,NOT
task1a_test_669,NOT
task1a_test_670,NOT
task1a_test_671,HOF
task1a_test_672,HOF
task1a_test_673,NOT
task1a_test_674,NOT
task1a_test_675,NOT
task1a_test_676,NOT
task1a_test_677,HOF
task1a_test_678,HOF
task1a_test_679,NOT
task1a_test_680,NOT
task1a_test_681,NOT
task1a_test_682,HOF
task1a_test_683,NOT
task1a_test_684,NOT
task1a_test_685,NOT
task1a_test_686,NOT
task1a_test_687,NOT
task1a_test_688,NOT
task1a_test_689,HOF
task1a_test_690,NOT
task1a_test_691,NOT
task1a_test_692,NOT
task1a_test_693,NOT
task1a_test_694,NOT
task1a_test_695,NOT
task1a_test_696,HOF
task1a_test_697,HOF
task1a_test_698,HOF
task1a_test_699,NOT
task1a_test_700,HOF
task1a_test_701,NOT
task1a_test_702,NOT
task1a_test_703,HOF
task1a_test_704,HOF
task1a_test_705,HOF
task1a_test_706,NOT
task1a_test_707,NOT
task1a_test_708,HOF
task1a_test_709,NOT
task1a_test_710,NOT
task1a_test_711,HOF
task1a_test_712,NOT
task1a_test_713,NOT
task1a_test_714,NOT
task1a_test_715,NOT
task1a_test_716,NOT
task1a_test_717,HOF
task1a_test_718,NOT
task1a_test_719,HOF
task1a_test_720,NOT
task1a_test_721,NOT
task1a_test_722,NOT
task1a_test_723,NOT
task1a_test_724,NOT
task1a_test_725,NOT
task1a_test_726,NOT
task1a_test_727,HOF
task1a_test_728,NOT
task1a_test_729,HOF
task1a_test_730,HOF
task1a_test_731,NOT
task1a_test_732,NOT
task1a_test_733,NOT
task1a_test_734,NOT
task1a_test_735,NOT
task1a_test_736,NOT
task1a_test_737,NOT
task1a_test_738,NOT
task1a_test_739,NOT
task1a_test_740,NOT
task1a_test_741,HOF
task1a_test_742,HOF
task1a_test_743,NOT
task1a_test_744,NOT
task1a_test_745,NOT
task1a_test_746,NOT
task1a_test_747,NOT
task1a_test_748,NOT
task1a_test_749,NOT
task1a_test_750,NOT
task1a_test_751,NOT
task1a_test_752,NOT
task1a_test_753,HOF
task1a_test_754,NOT
task1a_test_755,NOT
task1a_test_756,NOT
task1a_test_757,HOF
task1a_test_758,HOF
task1a_test_759,HOF
task1a_test_760,HOF
task1a_test_761,NOT
task1a_test_762,NOT
task1a_test_763,NOT
task1a_test_764,NOT
task1a_test_765,HOF
task1a_test_766,NOT
task1a_test_767,HOF
task1a_test_768,HOF
task1a_test_769,NOT
task1a_test_770,NOT
task1a_test_771,HOF
task1a_test_772,NOT
task1a_test_773,NOT
task1a_test_774,NOT
task1a_test_775,NOT
task1a_test_776,HOF
task1a_test_777,NOT
task1a_test_778,NOT
task1a_test_779,NOT
task1a_test_780,HOF
task1a_test_781,NOT
task1a_test_782,HOF
task1a_test_783,NOT
task1a_test_784,NOT
task1a_test_785,NOT
task1a_test_786,NOT
task1a_test_787,HOF
task1a_test_788,HOF
task1a_test_789,HOF
task1a_test_790,HOF
task1a_test_791,HOF
task1a_test_792,HOF
task1a_test_793,NOT
task1a_test_794,NOT
task1a_test_795,NOT
task1a_test_796,HOF
task1a_test_797,NOT
task1a_test_798,NOT
task1a_test_799,HOF
task1a_test_800,NOT
task1a_test_801,HOF
task1a_test_802,HOF
task1a_test_803,NOT
task1a_test_804,NOT
task1a_test_805,NOT
task1a_test_806,NOT
task1a_test_807,NOT
task1a_test_808,NOT
task1a_test_809,NOT
task1a_test_810,HOF
task1a_test_811,HOF
task1a_test_812,NOT
task1a_test_813,HOF
task1a_test_814,NOT
task1a_test_815,HOF
task1a_test_816,NOT
task1a_test_817,NOT
task1a_test_818,NOT
task1a_test_819,NOT
task1a_test_820,NOT
task1a_test_821,HOF
task1a_test_822,NOT
task1a_test_823,NOT
task1a_test_824,NOT
task1a_test_825,HOF
task1a_test_826,HOF
task1a_test_827,HOF
task1a_test_828,HOF
task1a_test_829,NOT
task1a_test_830,NOT
task1a_test_831,HOF
task1a_test_832,HOF
task1a_test_833,NOT
task1a_test_834,NOT
task1a_test_835,HOF
task1a_test_836,NOT
task1a_test_837,HOF
task1a_test_838,NOT
task1a_test_839,HOF
task1a_test_840,NOT
task1a_test_841,HOF
task1a_test_842,HOF
task1a_test_843,NOT
task1a_test_844,NOT
task1a_test_845,NOT
task1a_test_846,NOT
task1a_test_847,NOT
task1a_test_848,NOT
task1a_test_849,NOT
task1a_test_850,NOT
task1a_test_851,HOF
task1a_test_852,NOT
task1a_test_853,NOT
task1a_test_854,HOF
task1a_test_855,NOT
task1a_test_856,NOT
task1a_test_857,NOT
task1a_test_858,HOF
task1a_test_859,HOF
task1a_test_860,HOF
task1a_test_861,NOT
task1a_test_862,NOT
task1a_test_863,HOF
task1a_test_864,NOT
task1a_test_865,HOF
task1a_test_866,NOT
task1a_test_867,HOF
task1a_test_868,HOF
task1a_test_869,NOT
task1a_test_870,NOT
task1a_test_871,NOT
task1a_test_872,HOF
task1a_test_873,NOT
task1a_test_874,NOT
task1a_test_875,HOF
task1a_test_876,NOT
task1a_test_877,NOT
task1a_test_878,NOT
task1a_test_879,NOT
task1a_test_880,NOT
task1a_test_881,NOT
task1a_test_882,NOT
task1a_test_883,NOT
task1a_test_884,NOT
task1a_test_885,NOT
task1a_test_886,NOT
task1a_test_887,NOT
task1a_test_888,HOF
task1a_test_889,NOT
task1a_test_890,NOT
task1a_test_891,NOT
task1a_test_892,NOT
task1a_test_893,NOT
task1a_test_894,NOT
task1a_test_895,NOT
task1a_test_896,NOT
task1a_test_897,NOT
task1a_test_898,NOT
task1a_test_899,HOF
task1a_test_900,NOT
task1a_test_901,NOT
task1a_test_902,HOF
task1a_test_903,NOT
task1a_test_904,NOT
task1a_test_905,NOT
task1a_test_906,NOT
task1a_test_907,NOT
task1a_test_908,NOT
task1a_test_909,NOT
task1a_test_910,HOF
task1a_test_911,HOF
task1a_test_912,NOT
task1a_test_913,HOF
task1a_test_914,HOF
task1a_test_915,HOF
task1a_test_916,NOT
task1a_test_917,NOT
task1a_test_918,HOF
task1a_test_919,HOF
task1a_test_920,HOF
task1a_test_921,NOT
task1a_test_922,NOT
task1a_test_923,HOF
task1a_test_924,NOT
task1a_test_925,HOF
task1a_test_926,NOT
task1a_test_927,HOF
task1a_test_928,NOT
task1a_test_929,HOF
task1a_test_930,HOF
task1a_test_931,HOF
task1a_test_932,NOT
task1a_test_933,HOF
task1a_test_934,HOF
task1a_test_935,NOT
task1a_test_936,NOT
task1a_test_937,HOF
task1a_test_938,NOT
task1a_test_939,NOT
task1a_test_940,NOT
task1a_test_941,NOT
task1a_test_942,NOT
task1a_test_943,HOF
task1a_test_944,NOT
task1a_test_945,HOF
task1a_test_946,HOF
task1a_test_947,HOF
task1a_test_948,NOT
task1a_test_949,NOT
task1a_test_950,NOT
task1a_test_951,NOT
task1a_test_952,HOF
task1a_test_953,NOT
task1a_test_954,NOT
task1a_test_955,HOF
task1a_test_956,NOT
task1a_test_957,NOT
task1a_test_958,NOT
task1a_test_959,HOF
task1a_test_960,HOF
task1a_test_961,NOT
task1a_test_962,NOT
task1a_test_963,HOF
task1a_test_964,NOT
task1a_test_965,NOT
task1a_test_966,NOT
task1a_test_967,NOT
task1a_test_968,NOT
task1a_test_969,NOT
task1a_test_970,NOT
task1a_test_971,NOT
task1a_test_972,NOT
task1a_test_973,NOT
task1a_test_974,NOT
task1a_test_975,HOF
task1a_test_976,HOF
task1a_test_977,NOT
task1a_test_978,HOF
task1a_test_979,NOT
task1a_test_980,HOF
task1a_test_981,NOT
task1a_test_982,HOF
task1a_test_983,HOF
task1a_test_984,NOT
task1a_test_985,HOF
task1a_test_986,NOT
task1a_test_987,NOT
task1a_test_988,HOF
task1a_test_989,NOT
task1a_test_990,NOT
task1a_test_991,NOT
task1a_test_992,NOT
task1a_test_993,NOT
task1a_test_994,NOT
task1a_test_995,NOT
task1a_test_996,NOT
task1a_test_997,NOT
task1a_test_998,HOF
task1a_test_999,NOT
task1a_test_1000,NOT
task1a_test_1001,NOT
task1a_test_1002,NOT
task1a_test_1003,NOT
task1a_test_1004,HOF
task1a_test_1005,NOT
task1a_test_1006,NOT
task1a_test_1007,NOT
task1a_test_1008,NOT
task1a_test_1009,NOT
task1a_test_1010,NOT
task1a_test_1011,HOF
task1a_test_1012,NOT
task1a_test_1013,HOF
task1a_test_1014,HOF
task1a_test_1015,NOT
task1a_test_1016,HOF
task1a_test_1017,NOT
task1a_test_1018,NOT
task1a_test_1019,HOF
task1a_test_1020,NOT
task1a_test_1021,NOT
task1a_test_1022,NOT
task1a_test_1023,NOT
task1a_test_1024,HOF
task1a_test_1025,HOF
task1a_test_1026,HOF
task1a_test_1027,NOT
task1a_test_1028,NOT
task1a_test_1029,NOT
task1a_test_1030,NOT
task1a_test_1031,NOT
task1a_test_1032,NOT
task1a_test_1033,NOT
task1a_test_1034,NOT
task1a_test_1035,HOF
task1a_test_1036,NOT
task1a_test_1037,NOT
task1a_test_1038,NOT
task1a_test_1039,HOF
task1a_test_1040,HOF
task1a_test_1041,NOT
task1a_test_1042,HOF
task1a_test_1043,HOF
task1a_test_1044,NOT
task1a_test_1045,NOT
task1a_test_1046,HOF
task1a_test_1047,NOT
task1a_test_1048,NOT
task1a_test_1049,HOF
task1a_test_1050,HOF
task1a_test_1051,NOT
task1a_test_1052,NOT
task1a_test_1053,NOT
task1a_test_1054,NOT
task1a_test_1055,HOF
task1a_test_1056,NOT
task1a_test_1057,NOT
task1a_test_1058,NOT
task1a_test_1059,HOF
task1a_test_1060,NOT
task1a_test_1061,NOT
task1a_test_1062,HOF
task1a_test_1063,NOT
task1a_test_1064,NOT
task1a_test_1065,NOT
task1a_test_1066,HOF
task1a_test_1067,HOF
task1a_test_1068,NOT
task1a_test_1069,NOT
task1a_test_1070,HOF
task1a_test_1071,NOT
task1a_test_1072,HOF
task1a_test_1073,NOT
task1a_test_1074,NOT
task1a_test_1075,NOT
task1a_test_1076,NOT
task1a_test_1077,NOT
task1a_test_1078,NOT
task1a_test_1079,NOT
task1a_test_1080,NOT
task1a_test_1081,NOT
task1a_test_1082,NOT
task1a_test_1083,HOF
task1a_test_1084,NOT
task1a_test_1085,NOT
task1a_test_1086,NOT
task1a_test_1087,HOF
task1a_test_1088,HOF
task1a_test_1089,HOF
task1a_test_1090,NOT
task1a_test_1091,NOT
task1a_test_1092,HOF
task1a_test_1093,NOT
task1a_test_1094,NOT
task1a_test_1095,NOT
task1a_test_1096,NOT
task1a_test_1097,HOF
task1a_test_1098,HOF
task1a_test_1099,NOT
task1a_test_1100,NOT
task1a_test_1101,NOT
task1a_test_1102,NOT
task1a_test_1103,NOT
task1a_test_1104,NOT
task1a_test_1105,NOT
task1a_test_1106,HOF
task1a_test_1107,HOF
task1a_test_1108,NOT
task1a_test_1109,HOF
task1a_test_1110,HOF
task1a_test_1111,HOF
task1a_test_1112,HOF
task1a_test_1113,HOF
task1a_test_1114,NOT
task1a_test_1115,NOT
task1a_test_1116,HOF
task1a_test_1117,NOT
task1a_test_1118,HOF
task1a_test_1119,NOT
task1a_test_1120,NOT
task1a_test_1121,HOF
task1a_test_1122,HOF
task1a_test_1123,NOT
task1a_test_1124,NOT
task1a_test_1125,HOF
task1a_test_1126,HOF
task1a_test_1127,NOT
task1a_test_1128,NOT
task1a_test_1129,NOT
task1a_test_1130,HOF
task1a_test_1131,HOF
task1a_test_1132,NOT
task1a_test_1133,HOF
task1a_test_1134,NOT
task1a_test_1135,HOF
task1a_test_1136,NOT
task1a_test_1137,NOT
task1a_test_1138,HOF
task1a_test_1139,NOT
task1a_test_1140,NOT
task1a_test_1141,HOF
task1a_test_1142,NOT
task1a_test_1143,HOF
task1a_test_1144,NOT
task1a_test_1145,HOF
task1a_test_1146,NOT
task1a_test_1147,HOF
task1a_test_1148,HOF
task1a_test_1149,NOT
task1a_test_1150,NOT
task1a_test_1151,NOT
task1a_test_1152,NOT
task1a_test_1153,HOF
